,idx,target,captions,path
20,20,1,there is a duck that is sitting on the sand by the water,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg
21,21,1,there is a bird flying over a body of water with people standing around,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg
22,22,1,there is a bird that is sitting on a dock by the water,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg
23,23,1,araffe flying over a grassy hill with a body of water in the background,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg
24,24,1,there is a duck that is sitting in the water,001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg
25,25,1,there is a duck that is standing on the ground by the water,001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg
26,26,1,arafed bird in the water with people in the background,001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg
27,27,1,arafed bird statue in front of a pond with a metal frame,002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg
28,28,1,there is a bird that is flying in the air in the woods,002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg
29,29,1,there is a bird flying over a body of water with two swans,002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg
30,30,1,araffe standing on a dock with a little girl in a pink hat,002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg
31,31,1,woman in white shirt and tie holding a bird in the water,002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg
32,32,1,arafed bird flying over a grassy hill with a body of water in the background,002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg
33,33,1,there is a bird that is sitting on the water by the shore,002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg
34,34,1,there is a duck that is standing in the water near a boat,002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg
35,35,1,arafed bird with long beak standing in water near rocky shore,002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg
36,36,1,there is a bird that is standing in the water,002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg
37,37,1,there are three birds flying over the water with one duck,002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg
38,38,1,arafed bird with a long beak and a long beak,002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg
39,39,1,there is a bird standing on the grass by the water,002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg
40,40,1,arafed bird sitting on the beach with rocks and water,002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg
41,41,1,arafed bird flying over the ocean with clouds in the background,002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg
42,42,1,there is a bird that is standing on a rock by the water,002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg
43,43,1,arafed bird flying over the ocean at sunset with a pink sky,002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg
44,44,1,araffe flying over the rocks in front of the ocean,002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg
45,45,1,arafed bird flying over a lake with mountains in the background,002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg
46,46,1,there is a bird that is sitting on a boat in the water,002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg
47,47,1,ducks are swimming in the water with their wings spread out,002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg
48,48,1,arafed bird standing on the beach with a long beak,002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg
49,49,1,araffe flying over the water with a large city in the background,002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg
50,50,1,there is a bird that is standing on the beach by the water,003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg
51,51,1,there is a bird flying over the beach with a boat in the background,003.Sooty_Albatross/Sooty_Albatross_0031_1066.jpg
52,52,1,arafed bird sitting on the edge of a body of water,003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg
53,53,1,araffe bass caught on a rock ledge by a lake,003.Sooty_Albatross/Sooty_Albatross_0063_1101.jpg
54,54,1,there is a dog and a bird playing in the water,003.Sooty_Albatross/Sooty_Albatross_0070_796346.jpg
55,55,1,there is a bird flying over a lake in the woods,003.Sooty_Albatross/Sooty_Albatross_0032_1149.jpg
56,56,1,arafed bird with a black beak and a white nose,003.Sooty_Albatross/Sooty_Albatross_0045_1162.jpg
57,57,1,there is a bird that is standing on a rock in the water,003.Sooty_Albatross/Sooty_Albatross_0073_1171.jpg
58,58,1,there is a bird that is flying over some flowers,003.Sooty_Albatross/Sooty_Albatross_0074_1221.jpg
59,59,1,arafed man taking a picture of a bird with a camera,003.Sooty_Albatross/Sooty_Albatross_0021_796339.jpg
60,60,1,arafed bird standing on a rock near the ocean,003.Sooty_Albatross/Sooty_Albatross_0064_796343.jpg
61,61,1,painting of a seagull flying over a ship in the ocean,003.Sooty_Albatross/Sooty_Albatross_0017_796349.jpg
62,62,1,there is a bird flying over the ocean with a butterfly on its wing,003.Sooty_Albatross/Sooty_Albatross_0075_796352.jpg
63,63,1,arafed bird with a black beak and yellow and pink stripes,003.Sooty_Albatross/Sooty_Albatross_0025_796361.jpg
64,64,1,arafed bird sitting on a rock in front of a house,003.Sooty_Albatross/Sooty_Albatross_0072_796371.jpg
65,65,1,araffe flying over the ocean with a wave in the background,003.Sooty_Albatross/Sooty_Albatross_0014_796373.jpg
66,66,1,araffe flying over the beach with a clear blue sky,003.Sooty_Albatross/Sooty_Albatross_0040_796375.jpg
67,67,1,arafed group of people posing for a picture with a bird on a beach,003.Sooty_Albatross/Sooty_Albatross_0019_796391.jpg
68,68,1,arafed bird flying over a lake with a boat in the background,003.Sooty_Albatross/Sooty_Albatross_0022_796398.jpg
69,69,0,there is a bird that is sitting on a branch in the snow,004.Groove_billed_Ani/Groove_Billed_Ani_0071_1559.jpg
70,70,0,there is a bird that is flying in the air near some trees,004.Groove_billed_Ani/Groove_Billed_Ani_0105_1562.jpg
71,71,0,there is a bird that is standing on a tree stump,004.Groove_billed_Ani/Groove_Billed_Ani_0090_1567.jpg
72,72,0,there is a bird that is sitting on a branch in the grass,004.Groove_billed_Ani/Groove_Billed_Ani_0019_1585.jpg
73,73,0,there is a bird that is sitting on the ground in the woods,004.Groove_billed_Ani/Groove_Billed_Ani_0036_1604.jpg
74,74,0,there is a bird that is sitting on a wooden bench,004.Groove_billed_Ani/Groove_Billed_Ani_0007_1615.jpg
75,75,0,there is a black bird sitting on a flower in the grass,004.Groove_billed_Ani/Groove_Billed_Ani_0051_1650.jpg
76,76,0,there is a man standing next to a large owl on a tree,004.Groove_billed_Ani/Groove_Billed_Ani_0015_1653.jpg
77,77,0,there is a bird that is sitting on a branch near a pond,004.Groove_billed_Ani/Groove_Billed_Ani_0076_1661.jpg
78,78,0,there is a bird that is sitting on a tree branch,004.Groove_billed_Ani/Groove_Billed_Ani_0002_1670.jpg
79,79,0,there is a bird that is standing in the middle of a forest,004.Groove_billed_Ani/Groove_Billed_Ani_0047_1706.jpg
80,80,0,there is a bird that is standing on a branch in the woods,004.Groove_billed_Ani/Groove_Billed_Ani_0077_1724.jpg
81,81,0,there is a bird that is perched on a tree branch,004.Groove_billed_Ani/Groove_Billed_Ani_0023_1485.jpg
82,82,0,there is a small bird sitting on a branch of a bamboo tree,004.Groove_billed_Ani/Groove_Billed_Ani_0004_1528.jpg
83,83,0,there is a bird that is sitting on a branch in the grass,004.Groove_billed_Ani/Groove_Billed_Ani_0056_1493.jpg
84,84,0,there is a pencil in front of a pencil with a bird on it,004.Groove_billed_Ani/Groove_Billed_Ani_0058_1751.jpg
85,85,0,there is a bird that is sitting on a branch in the woods,004.Groove_billed_Ani/Groove_Billed_Ani_0027_1754.jpg
86,86,0,there is a bird that is standing on a tree branch,004.Groove_billed_Ani/Groove_Billed_Ani_0055_1501.jpg
87,87,0,there is a bird that is sitting on a branch of a plant,004.Groove_billed_Ani/Groove_Billed_Ani_0065_1502.jpg
88,88,0,there is a black bird standing in the woods with its wings spread,004.Groove_billed_Ani/Groove_Billed_Ani_0006_1763.jpg
89,89,0,there is a bird that is sitting on a tree branch,004.Groove_billed_Ani/Groove_Billed_Ani_0061_1510.jpg
90,90,0,there is a bird that is sitting on a branch in the grass,004.Groove_billed_Ani/Groove_Billed_Ani_0032_1776.jpg
91,91,0,there is a bird that is flying over the water,004.Groove_billed_Ani/Groove_Billed_Ani_0012_1784.jpg
92,92,1,there is a bird that is standing in the water,005.Crested_Auklet/Crested_Auklet_0061_794904.jpg
93,93,1,there is a bird that is sitting on a rock in the water,005.Crested_Auklet/Crested_Auklet_0010_794907.jpg
94,94,1,there is a bird with a mohawk on its head near a body of water,005.Crested_Auklet/Crested_Auklet_0029_1824.jpg
95,95,1,there is a bird that is sitting on a rock in the water,005.Crested_Auklet/Crested_Auklet_0013_794914.jpg
96,96,1,there is a large rubber duck that is sitting on the beach,005.Crested_Auklet/Crested_Auklet_0047_794918.jpg
97,97,1,there is a bird that is sitting on a boat in the water,005.Crested_Auklet/Crested_Auklet_0005_794922.jpg
98,98,1,there is a bird that is standing on the beach,005.Crested_Auklet/Crested_Auklet_0032_794931.jpg
99,99,1,there is a bird that is sitting on a table in the woods,005.Crested_Auklet/Crested_Auklet_0045_794940.jpg
100,100,1,there is a bird that is standing in the water with a frisbee in its beak,005.Crested_Auklet/Crested_Auklet_0001_794941.jpg
101,101,1,there is a woman sitting on a rock with a bird on it,005.Crested_Auklet/Crested_Auklet_0039_794944.jpg
102,102,1,there is a bird that is sitting on a rock near a lake,005.Crested_Auklet/Crested_Auklet_0052_794952.jpg
103,103,1,there are two pictures of a woman holding a fish in her hands,005.Crested_Auklet/Crested_Auklet_0003_794962.jpg
104,104,1,there is a bird that is standing on the beach by the water,005.Crested_Auklet/Crested_Auklet_0033_794964.jpg
105,105,1,there is a bird that is standing in the grass by the water,005.Crested_Auklet/Crested_Auklet_0062_794968.jpg
106,106,1,there is a bird that is flying over a water hole,005.Crested_Auklet/Crested_Auklet_0073_785248.jpg
107,107,1,there is a bird that is standing in the water,005.Crested_Auklet/Crested_Auklet_0067_785249.jpg
108,108,1,there is a duck that is standing in the water,005.Crested_Auklet/Crested_Auklet_0066_785251.jpg
109,109,1,there is a bird that is standing on a rock wall,005.Crested_Auklet/Crested_Auklet_0071_785255.jpg
110,110,1,arafed bird perched on a ledge overlooking a city and ocean,005.Crested_Auklet/Crested_Auklet_0077_785257.jpg
111,111,1,there is a bird that is flying over the water,005.Crested_Auklet/Crested_Auklet_0069_785258.jpg
112,112,1,there are many birds that are standing in the water,005.Crested_Auklet/Crested_Auklet_0075_785259.jpg
113,113,1,there is a bird that is sitting on a person's head,005.Crested_Auklet/Crested_Auklet_0072_785260.jpg
114,114,1,there is a bird that is sitting on a rock in the mountains,005.Crested_Auklet/Crested_Auklet_0063_794901.jpg
115,115,1,there is a bird that is sitting on the beach by the water,005.Crested_Auklet/Crested_Auklet_0030_794937.jpg
116,116,1,there is a bird that is sitting on the water in the water,005.Crested_Auklet/Crested_Auklet_0040_794912.jpg
117,117,1,there is a bird that is sitting on a rock by the water,006.Least_Auklet/Least_Auklet_0035_1888.jpg
118,118,1,there is a bird that is standing on a rock in the water,006.Least_Auklet/Least_Auklet_0050_1924.jpg
119,119,1,there is a bird that is standing in the water with a fish in its beak,006.Least_Auklet/Least_Auklet_0058_1931.jpg
120,120,1,there is a bird that is sitting on a table in a restaurant,006.Least_Auklet/Least_Auklet_0015_795065.jpg
121,121,1,surfer with a surfboard and a bird on the beach,006.Least_Auklet/Least_Auklet_0026_795066.jpg
122,122,1,there is a bird that is sitting on a rock by the water,006.Least_Auklet/Least_Auklet_0043_795067.jpg
123,123,1,there is a bird that is sitting on a fence by the water,006.Least_Auklet/Least_Auklet_0045_795069.jpg
124,124,1,there is a bird that is sitting on a rock by the water,006.Least_Auklet/Least_Auklet_0008_795071.jpg
125,125,1,there is a bird that is sitting on a ledge in the water,006.Least_Auklet/Least_Auklet_0012_795074.jpg
126,126,1,there is a bird sitting on a rock looking out over the water,006.Least_Auklet/Least_Auklet_0020_795080.jpg
127,127,1,there is a bird that is standing in the grass near a tree,006.Least_Auklet/Least_Auklet_0017_795084.jpg
128,128,1,there is a bird that is sitting on a post by the water,006.Least_Auklet/Least_Auklet_0052_795088.jpg
129,129,1,there is a bird that is sitting on a rock in the water,006.Least_Auklet/Least_Auklet_0027_795091.jpg
130,130,1,there is a bird that is standing in the water,006.Least_Auklet/Least_Auklet_0010_795092.jpg
131,131,1,there is a bird sitting on a branch near a lake,006.Least_Auklet/Least_Auklet_0060_795095.jpg
132,132,1,there is a bird that is sitting on the back of a boat,006.Least_Auklet/Least_Auklet_0034_795096.jpg
133,133,1,ducks are standing in the water near a concrete wall,006.Least_Auklet/Least_Auklet_0042_1874.jpg
134,134,1,there is a bird that is sitting on a branch near a boat,006.Least_Auklet/Least_Auklet_0011_795109.jpg
135,135,1,there is a bird that is standing in the water with a woman,006.Least_Auklet/Least_Auklet_0030_795116.jpg
136,136,1,there is a black swan that is floating in the water,006.Least_Auklet/Least_Auklet_0029_795122.jpg
137,137,1,there is a bird that is flying over the water,006.Least_Auklet/Least_Auklet_0057_795126.jpg
138,138,1,there is a bird that is sitting on a rock by the water,006.Least_Auklet/Least_Auklet_0054_795130.jpg
139,139,1,there is a bird flying over the ocean on a beach,006.Least_Auklet/Least_Auklet_0038_795132.jpg
140,140,1,arafed bird sitting on a post in front of a cruise ship,006.Least_Auklet/Least_Auklet_0063_795134.jpg
141,141,1,arafed penguin on the beach at sunset with the sun setting,007.Parakeet_Auklet/Parakeet_Auklet_0004_795921.jpg
142,142,1,there is a bird that is standing on the ground in the grass,007.Parakeet_Auklet/Parakeet_Auklet_0027_795925.jpg
143,143,1,arafed penguin standing in front of a lake at sunset,007.Parakeet_Auklet/Parakeet_Auklet_0056_795926.jpg
144,144,1,there is a bird that is standing on the beach,007.Parakeet_Auklet/Parakeet_Auklet_0012_795927.jpg
145,145,1,there are two ducks that are standing in the water,007.Parakeet_Auklet/Parakeet_Auklet_0007_795932.jpg
146,146,1,arafed penguin standing on the beach at sunset with the sun setting,007.Parakeet_Auklet/Parakeet_Auklet_0041_795933.jpg
147,147,1,there is a black and white photo of a duck in the water,007.Parakeet_Auklet/Parakeet_Auklet_0035_795934.jpg
148,148,1,there is a bird that is standing on the rocks by the water,007.Parakeet_Auklet/Parakeet_Auklet_0038_795935.jpg
149,149,1,there is a bird that is standing on the beach by the water,007.Parakeet_Auklet/Parakeet_Auklet_0069_795936.jpg
150,150,1,there is a bird standing on a rock in the water,007.Parakeet_Auklet/Parakeet_Auklet_0073_795939.jpg
151,151,1,there is a bird that is sitting on a rock by the water,007.Parakeet_Auklet/Parakeet_Auklet_0036_795943.jpg
152,152,1,there are many dinosaurs in the background of this photo,007.Parakeet_Auklet/Parakeet_Auklet_0028_795944.jpg
153,153,1,there are two men on a boat with a bird on the back,007.Parakeet_Auklet/Parakeet_Auklet_0043_795948.jpg
154,154,1,there is a penguin sitting on a rock next to a bench,007.Parakeet_Auklet/Parakeet_Auklet_0045_795953.jpg
155,155,1,arafed duck standing on a lake at sunset with trees in the background,007.Parakeet_Auklet/Parakeet_Auklet_0042_795961.jpg
156,156,1,there is a duck that is standing in the water,007.Parakeet_Auklet/Parakeet_Auklet_0080_795965.jpg
157,157,1,arafed bird sitting on a beach with a resort in the background,007.Parakeet_Auklet/Parakeet_Auklet_0065_795969.jpg
158,158,1,there is a bird that is sitting on the dashboard of a car,007.Parakeet_Auklet/Parakeet_Auklet_0001_795972.jpg
159,159,1,there is a bird that is sitting on the beach by the water,007.Parakeet_Auklet/Parakeet_Auklet_0059_795973.jpg
160,160,1,there is a woman standing next to a large bird on a fence,007.Parakeet_Auklet/Parakeet_Auklet_0025_795975.jpg
161,161,1,there is a duck with a red beak and a white body,007.Parakeet_Auklet/Parakeet_Auklet_0074_795976.jpg
162,162,1,there is a small bird that is swimming in the water,007.Parakeet_Auklet/Parakeet_Auklet_0048_795980.jpg
163,163,1,there is a bird that is standing on a tree branch,007.Parakeet_Auklet/Parakeet_Auklet_0003_795982.jpg
164,164,1,there is a penguin that is sitting on a rock by the water,007.Parakeet_Auklet/Parakeet_Auklet_0032_795986.jpg
165,165,1,there is a bird that is standing on the beach near the water,007.Parakeet_Auklet/Parakeet_Auklet_0019_795987.jpg
166,166,1,there is a penguin that is riding a wave on a surfboard,007.Parakeet_Auklet/Parakeet_Auklet_0076_796001.jpg
167,167,1,arafed bird perched on a man's shoulder in front of a lake,007.Parakeet_Auklet/Parakeet_Auklet_0078_2004.jpg
168,168,1,there are two birds standing on the beach near the water,007.Parakeet_Auklet/Parakeet_Auklet_0024_2045.jpg
169,169,1,there is a boat that is sitting in the water near a lighthouse,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0020_2195.jpg
170,170,1,arafed duck with a man in the background and a wave in the foreground,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0021_2089.jpg
171,171,1,there is a bird flying over the ocean with a mountain in the background,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0023_797501.jpg
172,172,1,arafed bird sitting on a kayak on the shore of a lake,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0016_2114.jpg
173,173,1,there is a bird that is sitting on a rock by the water,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0030_797509.jpg
174,174,1,there is a bird that is standing in the water,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0006_797512.jpg
175,175,1,there is a woman and a child standing on a surfboard in the water,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0019_797513.jpg
176,176,1,araffe bird flying over a man in a boat on a river,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0032_797516.jpg
177,177,1,there is a bird that is sitting in the grass by the water,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0018_797517.jpg
178,178,1,there is a bird that is flying over the sand,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0026_797519.jpg
179,179,1,there is a bird that is sitting in the water,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0029_797520.jpg
180,180,1,there is a bird that is sitting on the grass by the water,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0014_797522.jpg
181,181,1,there is a seal that is sitting in the water with a boat,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0024_797529.jpg
182,182,1,there is a bird that is looking at the water with a boat in the background,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0011_797530.jpg
183,183,1,there is a bird that is standing on a rock in the water,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0050_797534.jpg
184,184,1,there is a bird that is sitting on a branch near the water,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0013_797537.jpg
185,185,1,there is a bird that is flying over a body of water,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0009_797539.jpg
186,186,1,arafed bird flying over a body of water with a small island in the background,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0017_2155.jpg
187,187,1,there is a bird that is sitting on the side of the road,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0012_2161.jpg
188,188,1,arafed bird with a man taking a picture of it,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0033_2169.jpg
189,189,1,arafed bird with a black head and white beak and a yellow beak,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0005_2111.jpg
190,190,0,there is a bird that is standing in the middle of a bamboo forest,009.Brewer_Blackbird/Brewer_Blackbird_0139_2567.jpg
191,191,0,there is a black bird standing on a wooden ledge,009.Brewer_Blackbird/Brewer_Blackbird_0140_2586.jpg
192,192,0,araffe woman holding a bird in her hand in a field,009.Brewer_Blackbird/Brewer_Blackbird_0135_2607.jpg
193,193,0,arafed bird sitting on a stump in a field of bluebells,009.Brewer_Blackbird/Brewer_Blackbird_0095_2610.jpg
194,194,0,there is a bird that is standing in the middle of a bamboo forest,009.Brewer_Blackbird/Brewer_Blackbird_0035_2611.jpg
195,195,0,there is a black bird sitting on a pine tree branch,009.Brewer_Blackbird/Brewer_Blackbird_0111_2613.jpg
196,196,0,there is a black bird sitting on a tree stump in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0026_2625.jpg
197,197,0,there is a bird that is perched on a pole in the middle of a forest,009.Brewer_Blackbird/Brewer_Blackbird_0142_2636.jpg
198,198,0,there is a black bird sitting on a post in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0078_2659.jpg
199,199,0,there is a bird that is sitting on a branch in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0014_2679.jpg
200,200,0,there is a black bird that is sitting on a post in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0032_2214.jpg
201,201,0,there is a black bird that is standing on a post in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0018_2261.jpg
202,202,0,there is a bird that is sitting on a branch in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0030_2268.jpg
203,203,0,there is a bird that is flying over a path in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0103_2273.jpg
204,204,0,there is a bird that is flying through the air in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0074_2277.jpg
205,205,0,there is a black bird sitting on a branch in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0002_2278.jpg
206,206,0,there are two birds that are standing on a bird feeder,009.Brewer_Blackbird/Brewer_Blackbird_0115_2279.jpg
207,207,0,araffy bird perched on a rock in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0131_2289.jpg
208,208,0,there is a bird that is standing on a branch in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0064_2290.jpg
209,209,0,there is a bird that is flying over a log in the grass,009.Brewer_Blackbird/Brewer_Blackbird_0045_2303.jpg
210,210,0,there is a bird that is sitting on a rock near the water,009.Brewer_Blackbird/Brewer_Blackbird_0097_2322.jpg
211,211,0,woman laying in the grass with a bird on her head,009.Brewer_Blackbird/Brewer_Blackbird_0133_2324.jpg
212,212,0,there is a bird that is standing in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0070_2325.jpg
213,213,0,there is a black bird standing on a tree stump in the woods,009.Brewer_Blackbird/Brewer_Blackbird_0116_2327.jpg
214,214,0,there is a bird that is standing on a tree stump,009.Brewer_Blackbird/Brewer_Blackbird_0112_2340.jpg
215,215,0,there is a bird that is sitting on a rock with a mouse,009.Brewer_Blackbird/Brewer_Blackbird_0079_2343.jpg
216,216,0,there is a bird that is sitting on a branch in the woods,010.Red_winged_Blackbird/Red_Winged_Blackbird_0091_4096.jpg
217,217,0,there is a bird that is standing on a tree branch,010.Red_winged_Blackbird/Red_Winged_Blackbird_0054_4625.jpg
218,218,0,there is a black bird with red eyes sitting on a tree branch,010.Red_winged_Blackbird/Red_Winged_Blackbird_0079_4527.jpg
219,219,0,there is a bird that is sitting on a tree branch,010.Red_winged_Blackbird/Red_Winged_Blackbird_0005_5636.jpg
220,220,0,there is a black bird sitting on a tree branch in the jungle,010.Red_winged_Blackbird/Red_Winged_Blackbird_0049_5598.jpg
221,221,0,there is a bird that is flying in the air over the trees,010.Red_winged_Blackbird/Red_Winged_Blackbird_0023_5257.jpg
222,222,0,there is a bird that is sitting on a tree branch,010.Red_winged_Blackbird/Red_Winged_Blackbird_0093_5948.jpg
223,223,0,there is a bird that is standing on a wooden platform,010.Red_winged_Blackbird/Red_Winged_Blackbird_0060_4688.jpg
224,224,0,there is a man riding a bike with a bird on the back,010.Red_winged_Blackbird/Red_Winged_Blackbird_0061_4196.jpg
225,225,0,there is a bird that is standing on a branch in the woods,010.Red_winged_Blackbird/Red_Winged_Blackbird_0101_6244.jpg
226,226,0,there is a bird that is sitting on a branch in the grass,010.Red_winged_Blackbird/Red_Winged_Blackbird_0028_4709.jpg
227,227,0,there is a bird that is sitting on top of a fence,010.Red_winged_Blackbird/Red_Winged_Blackbird_0001_3695.jpg
228,228,0,there is a bird that is sitting on a tree branch,010.Red_winged_Blackbird/Red_Winged_Blackbird_0012_6015.jpg
229,229,0,there is a black bird sitting on a green plant with red feathers,010.Red_winged_Blackbird/Red_Winged_Blackbird_0046_4242.jpg
230,230,0,there is a green bird with a red patch on its chest,010.Red_winged_Blackbird/Red_Winged_Blackbird_0032_4004.jpg
231,231,0,there is a bird that is sitting on a pole in the woods,010.Red_winged_Blackbird/Red_Winged_Blackbird_0040_4522.jpg
232,232,0,there is a black bird with a red stripe sitting on a branch,010.Red_winged_Blackbird/Red_Winged_Blackbird_0014_3761.jpg
233,233,0,there is a bird that is standing on a branch in the grass,010.Red_winged_Blackbird/Red_Winged_Blackbird_0081_6081.jpg
234,234,0,there is a black bird with a red patch on its head sitting on a branch,010.Red_winged_Blackbird/Red_Winged_Blackbird_0052_5575.jpg
235,235,0,araffe bird in the middle of a bamboo forest with its beak open,010.Red_winged_Blackbird/Red_Winged_Blackbird_0066_5070.jpg
236,236,0,a close up of a small black bird on a flower,010.Red_winged_Blackbird/Red_Winged_Blackbird_0020_4050.jpg
237,237,0,there is a black bird sitting on a branch in the woods,010.Red_winged_Blackbird/Red_Winged_Blackbird_0085_5846.jpg
238,238,0,there is a black bird sitting on a branch in the woods,010.Red_winged_Blackbird/Red_Winged_Blackbird_0105_4842.jpg
239,239,0,there is a black bird with a red stripe sitting on a branch,010.Red_winged_Blackbird/Red_Winged_Blackbird_0044_5621.jpg
240,240,0,there is a bird that is standing on a rock in the woods,010.Red_winged_Blackbird/Red_Winged_Blackbird_0055_4345.jpg
241,241,0,there is a bird that is sitting on a post in the water,011.Rusty_Blackbird/Rusty_Blackbird_0086_6658.jpg
242,242,0,there is a bird that is standing on a branch in the snow,011.Rusty_Blackbird/Rusty_Blackbird_0016_6684.jpg
